	FIRE_YEAR	1	0	MANMADE
1826845	2015	41.0259	-95.88613	1
1826846	2015	44.338498	-68.888596	1
1826847	2015	32.66902778	-84.06933333	1
1826838	2015	32.82008333	-84.68222222	1
1826848	2015	33.12077778	-82.403925	1
1826850	2015	45.17806	-122.53028	1
1826851	2015	44.00778	-123.35194	1
1826852	2015	40.20999	-99.57361	1
1826853	2015	32.67433333	-83.05891667	1
1826854	2015	34.314651	-81.397713	1
1826855	2015	48.7217	-117.9684	1
1826856	2015	46.06389	-123.68333	1
1826857	2015	32.85994444	-82.50872222	1
1826858	2015	32.39881111	-82.84283611	1
1826849	2015	31.04177778	-82.68638889	1
1826833	2015	41.3338	-74.1662	1
1826747	2015	32.52467222	-82.690475	1
1826832	2015	40.46687	-75.71685	1
1826805	2015	32.392848	-85.063818	1
1826806	2015	34.738445	-81.547867	1
1826807	2015	31.04344444	-82.72831944	1
1826808	2015	46.1618	-113.3086	1
1826809	2015	45.45861	-123.755	1
1826810	2015	45.06833	-122.55722	1
1826811	2015	42.784	-77.894	1
1826812	2015	33.616665	-79.949997	1
1826813	2015	47.9202	-113.8395	1
1826830	2015	31.61429722	-83.23143056	1
1826814	2015	32.22348333	-94.13955	1
1826816	2015	33.366772	-81.789955	1
1826817	2015	33.21091667	-85.134	1
1826818	2015	34.794266	-79.792404	1
1826819	2015	34.692703	-79.652672	1
1826820	2015	33.44502778	-83.16158333	1
1826821	2015	31.46586944	-82.04168056	1
1826822	2015	48.1353	-114.486	1
1826823	2015	34.68371579	-88.85588017	1
1826824	2015	41.900453	-70.916037	1
1826815	2015	32.85994444	-82.50872222	1
1826825	2015	46.7549	-122.0677	1
1826645	2015	38.0201	-120.269417	1
1826646	2015	39.39	-97.12	1
1826828	2015	42.01921	-103.0426	1
1826831	2015	31.77753611	-83.079725	1
1826631	2015	34.44010556	-85.44915278	1
1826746	2015	42.135994	-70.696333	1
1826744	2015	31.68489444	-83.14731944	1
1826662	2015	34.003471	-81.860779	1
1826663	2015	33.923679	-78.763222	1
1826664	2015	32.27178333	-81.31444167	1
1826665	2015	33.0406	-81.357857	1
1826666	2015	36.690278	-108.01	1
1826829	2015	46.3507	-122.6464	1
1826667	2015	33.98297778	-83.40466389	1
1826670	2015	45.57667	-121.28167	1
1826671	2015	44.53836	-68.111257	1
1826672	2015	37.66	-96.98	1
1826677	2015	44.663291	-71.219025	1
1826661	2015	34.98547222	-84.07491667	1
1826673	2015	47.1412	-124.0963	1
1826675	2015	28.5186	-82.455	1
1826546	2015	34.36376111	-83.95105278	1
1826676	2015	37.75	-97.28	1
1826669	2015	41.077433	-124.15135	1
1826678	2015	42.28608	-72.427939	1
1826679	2015	42.068472	-71.049632	1
1826680	2015	41.967842	-71.023366	1
1826682	2015	46.96309621	-116.5248035	1
1826683	2015	38.45	-97.65	1
1826684	2015	28.8819	-81.6965	1
1826685	2015	36.647933	-121.204883	1
1826674	2015	27.5218	-81.0341	1
1826660	2015	45.25861	-122.44889	1
1826659	2015	44.93361	-124.02472	1
1826658	2015	46.5699	-123.6201	1
1826633	2015	34.90068611	-85.05316111	1
1826681	2015	41.817997	-70.552139	1
1826634	2015	37.66	-98.14	1
1826636	2015	34.406667	-116.955667	1
1826637	2015	34.512321	-81.410774	1
1826638	2015	33.72245	-80.281143	1
1826639	2015	34.576713	-93.150399	1
1826640	2015	42.445633	-73.245936	1
1826641	2015	33.944722	-85.608863	1
1826642	2015	33.004546	-86.641995	1
1826643	2015	34.178302	-85.869211	1
1826644	2015	41.953737	-70.718032	1
1826635	2015	34.19368	-80.309547	1
1826826	2015	46.1139	-122.7667	1
1826835	2015	33.720585	-80.195496	1
1826647	2015	44.98694	-122.73306	1
1826695	2015	32.22798333	-84.30663056	1
1826650	2015	32.333875	-84.09389722	1
1826651	2015	32.84580556	-83.52855556	1
1826652	2015	37.8	-97.38	1
1826653	2015	37.03465	-121.9421	1
1826654	2015	47.9017	-117.7707	1
1826655	2015	46.6276	-123.5998	1
1826656	2015	45.12	-122.47639	1
1826657	2015	48.1	-114.655	1
1826686	2015	32.35661111	-83.83477778	1
1826649	2015	32.67864167	-83.52397222	1
1826687	2015	44.79417	-122.62	1
